,product,ingList,commonIng
14697,Anti-hangover soothing mask,"['Water', 'Glycerin', 'Butylene Glycol', '1,2-Hexanediol', 'Panthenol', 'Biosaccharide Gum-1', 'Saccharomyces/Imperata Cylindrica Root Ferment Extract', 'Saccharomyces/Viscum Album (Mistletoe) Ferment Extract', 'Lactobacillus/Soybean Ferment Extract', 'Beta-Glucan', 'Carbomer', 'Tromethamine', 'Ammonium Acryloyldimethyltaurate/VP Copolymer', 'Microcrystalline Cellulose', 'Zea Mays (Corn) Starch', 'Mannitol', 'Kaolin', 'Ascorbyl Glucoside', 'Xylitylglucoside', 'Anhydroxylitol', 'Xylitol', 'Betaine', 'Trehalose', 'Polyquaternium-51', 'Avena Sativa (Oat) Kernel Extract', 'Calendula Officinalis Flower Extract', 'Nepeta Cataria Extract', 'Rubus Idaeus (Raspberry) Leaf Extract', 'Baptisia Tinctoria Root Extract', 'Stellaria Media (Chickweed) Extract', 'Achillea Millefolium Flower Extract', 'Rosa Damascena Flower Extract', 'Lavandula Angustifolia (Lavender) Flower Extract', 'Chamomilla Recutita (Matricaria) Flower Extract', 'Trisodium EDTA', 'Fragrance', 'Limonene']",5
5987,Intensive Care Healing Serum Deep Repair,"['Water', 'Glycerin', 'Dimethicone', 'Isopropyl Myristate', 'Hydroxystearic Acid', 'Sodium Hydroxypropyl Starch Phosphate', 'Petrolatum', 'Tapioca Starch', 'Glyceryl Hydroxystearate', 'Citrus Limon (Lemon) Peel Powder', 'Citrus Aurantifolia (Lime) Peel Powder', 'Cetearyl Alcohol', 'Cetearyl Glucoside', 'Palmitic Acid(Emollient, Fragrance, Opacifying, Sufactant, Surfactant -Emulsifying Agentsurfactant-Cleansing Agent Is Included As A Function For The Soap Form Of Palmitic Acid.', 'Arachidic Acid(Emulsifying, Opacifying, Sufactantsurfactant-Cleansing Agent Is Included As A Function For The Soap Form Of Arachidic Acid.', 'Dimethicone Crosspolymer', 'Disodium EDTA', 'Fragrance', 'Methylparaben', 'Phenoxyethanol', 'Propylparaben', 'Benzyl Alcohol', 'Butylphenyl Methylpropional', 'Citronellol', 'Coumarin', 'Limonene', 'Linalool', 'Titanium Dioxide']",5
6140,Intensive Care Healing Serum Advanced Relief,"['Water', 'Glycerin', 'Dimethicone', 'Isopropyl Myristate', 'Hydroxystearic Acid', 'Sodium Hydroxypropyl Starch Phosphate', 'Petrolatum', 'Tapioca Starch', 'Glyceryl Hydroxystearate', 'Citrus Limon (Lemon) Peel Powder', 'Citrus Aurantifolia (Lime) Peel Powder', 'Cetearyl Alcohol', 'Cetearyl Glucoside', 'Palmitic Acid(Emollient, Fragrance, Opacifying, Sufactant, Surfactant -Emulsifying Agentsurfactant-Cleansing Agent Is Included As A Function For The Soap Form Of Palmitic Acid.', 'Arachidic Acid(Emulsifying, Opacifying, Sufactantsurfactant-Cleansing Agent Is Included As A Function For The Soap Form Of Arachidic Acid.', 'Dimethicone Crosspolymer', 'Disodium EDTA', 'Fragrance', 'Methylparaben', 'Phenoxyethanol', 'Propylparaben', 'Benzyl Alcohol', 'Butylphenyl Methylpropional', 'Citronellol', 'Coumarin', 'Limonene', 'Linalool', 'Titanium Dioxide']",5
13960,Anti-Blemish Solutions Cleansing Foam,"['Water', 'Glycerin', 'Butylene Glycol', 'Sodium Methyl Cocoyl Taurate', 'Sucrose', 'Disodium Phosphate', 'Arginine Cocoate', 'Laminaria Saccharina Extract', 'Cola Nitida Seed Extract', 'Caffeine', 'Algae Extract', 'Mentha Piperita (Peppermint', 'Sea Whip Extract', 'PEG/PPG-18/18 Dimethicone', 'Sodium Hyaluronate', 'PPG-6-Decyltetradeceth-30', 'Lactobacillus Ferment', 'Stearamidopropyl Dimethylamine', 'Longifolene', 'Acetyl Glucosamine', 'Capryloyl Glycine', 'Perillaldehyde', '10-Hydroxydecanoic Acid', 'Polyquaternium-7', 'Beta-Caryophyllene', 'Phospholipids', 'Sodium Stearate', 'Sodium Salicylate', 'Disodium EDTA', 'Phenoxyethanol', 'Chloroxylenol']",5
5936,Intensive Care Healing Serum Radiance Restore,"['Water', 'Glycerin', 'Dimethicone', 'Isopropyl Myristate', 'Hydroxystearic Acid', 'Sodium Hydroxypropyl Starch Phosphate', 'Petrolatum', 'Theobroma Cacao (Cocoa) Seed Butter', 'Tapioca Starch', 'Glyceryl Hydroxystearate', 'Citrus Limon (Lemon) Peel Powder', 'Citrus Aurantifolia (Lime) Peel Powder', 'Cetearyl Alcohol', 'Cetearyl Glucoside', 'Palmitic Acid(Emollient, Fragrance, Opacifying, Sufactant, Surfactant -Emulsifying Agentsurfactant-Cleansing Agent Is Included As A Function For The Soap Form Of Palmitic Acid.', 'Arachidic Acid(Emulsifying, Opacifying, Sufactantsurfactant-Cleansing Agent Is Included As A Function For The Soap Form Of Arachidic Acid.', 'Dimethicone Crosspolymer', 'Disodium EDTA', 'Fragrance', 'Methylparaben', 'Phenoxyethanol', 'Propylparaben', 'Benzyl Alcohol', 'Benzyl Benzoate', 'Benzyl Cinnamate', 'Butylphenyl Methylpropional', 'Citronellol', 'Coumarin', 'Hexyl Cinnamal', 'Hydroxycitronellal', 'Limonene', 'Linalool', 'Titanium Dioxide']",5
1668,SkinActive Moisture Bomb The Antioxidant Super Moisturizer,"['Water', 'Glycerin', 'Dimethicone', 'Cetearyl Ethylhexanoate', 'Alcohol Denat.', 'Aloe Barbadensis Leaf Juice', 'Hydroxyethylpiperazine Ethane Sulfonic Acid', 'Ammonium Polyacryloyldimethyl Taurate', 'Phenoxyethanol', 'Caprylyl Glycol', 'Isopropyl Myristate', 'Tocopherol (Vitamin E', 'Ascorbyl Glucoside', 'Dimethiconol', 'Alpha-Bisabolol', 'Fragrance', 'Sodium Hyaluronate', 'Xanthan Gum', 'Disodium EDTA', 't-Butyl Alcohol', 'Lycium Barbarum Fruit Extract', 'Sodium Hydroxide', 'Limonene', 'Farnesol', 'Sodium Benzoate', 'Linalool', 'Lactic Acid', 'Ceteareth-25', 'Citronellol', 'Potassium Sorbate', 'Geraniol', 'Cetyl Alcohol', 'Benzyl Alcohol', 'Ceramide', 'Behenic Acid(Emulsifying, Opacifying, Sufactantsurfactant-Cleansing Agent Is Included As A Function For The Soap Form Of Behenic Acid.', 'Punica Granatum Extract', 'Cholesterol', 'Ethylhexylglycerin', 'CI 42090', 'Ceramide EOP', 'Ceramide EOS', 'Caprooyl Phytosphingosine', 'Caprooyl Sphingosine', 'Ascorbyl Palmitate']",7
11021,Fixer Cream,"['Water', 'Glycerin', 'Methylpropanediol', 'Dimethicone', 'Olea Europaea (Olive) Fruit Oil', 'Hydrogenated Poly(C6-14 Olefin', 'Cyclopentasiloxane', 'Glyceryl Stearate', '1,2-Hexanediol', 'Cetearyl Alcohol', 'Polysorbate 60', 'PEG-100 Stearate', 'Cyclohexasiloxane', 'Salvia Hispanica Seed Extract', 'Centella Asiatica Extract', 'Houttuynia Cordata Extract', 'Carbomer', 'Tromethamine', 'Polyacrylate-13', 'Fructooligosaccharides', 'Saccharide Hydrolysate', 'Polyisobutene', 'Propanediol', 'Ethylhexylglycerin', 'Pullulan', 'Disodium EDTA', 'Polysorbate 20', 'Butylene Glycol', 'Sorbitan Isostearate', 'Trehalose', 'Sodium Hyaluronate', 'Lavandula Angustifolia (Lavender) Flower/Leaf/Stem Extract', 'Camellia Sinensis Leaf Extract', 'imperata Cylindrica Root Extract', 'Opuntia Ficus-Indica Stem Extract', 'Adansonia Digitata Seed Extract', 'Fragrance']",8
8255,Refining Facial Polisher,"['Glycerin', 'Copper Gluconate', 'Cetearyl Olivate', 'Lava Powder', 'Sorbitan Olivate', 'Sodium Cocoyl Glutamate', 'Silica', 'Water', 'Phenoxyethanol', 'Lactobionic Acid', 'Mangifera Indica (Mango) Leaf Extract', 'Bixa Orellana Pulp Extract', 'Musa Sapientum (Banana) Fruit Extract', 'Saccharomyces/Grape Ferment Extract', 'Fragrance', 'Xanthan Gum', 'Ethylhexylglycerin', 'Caprylic/Capric Triglyceride', 'Phaeodactylum Tricornutum Extract', 'Phospholipids', 'Benzyl Alcohol', 'Potassium Sorbate', 'Tocopherol (Vitamin E', 'Linalool', 'Limonene', 'Citronellol']",3
3452,Age Reverse HydraFirm,"['Water', 'Glycerin', 'Acetyl Glucosamine', 'Maltobionic Acid', 'Octyldodecyl Neopentanoate', 'Steareth-2', 'C12-15 Alkyl Benzoate', 'Octyldodecanol', 'Butyrospermum Parkii (Shea) Butter', 'Silica', 'Isostearic Acid(Emulsifying, Binding Agent, Binding, Sufactantsurfactant-Cleansing Agent Is Included As A Function For The Soap Form Of Isostearic Acid.', 'Ammonium Acryloyldimethyltaurate/VP Copolymer', 'Cyclopentasiloxane', 'Palmitoyl Oligopeptide', 'Palmitoyl Tetrapeptide-7', 'Tocopheryl Acetate', 'Vitis Vinifera (Grape) Seed Extract', 'Serine', 'Glycine', 'Glutamic Acid', 'Alanine', 'Lysine', 'Arginine', 'Threonine', 'Proline', 'Saccharide Isomerate', 'Sodium PCA', 'Sodium Hyaluronate', 'Sorbitol', 'Cyclohexasiloxane', 'Propylene Glycol', 'Betaine', 'Cetyl Alcohol', 'Steareth-20', 'Xanthan Gum', 'Carbomer', 'Caprylyl Glycol', 'Polysorbate 20', 'Ammonium Hydroxide', 'Butylene Glycol', 'Disodium EDTA', 'Phenoxyethanol', 'Chlorphenesin', 'Sodium Bisulfite', 'Fragrance', 'CI 42090', 'CI 19140']",9
2572,TimeWise Replenishing Serum+C,"['Water', 'Glycerin', 'Dimethicone', 'Hydrogenated Polydecene', 'Butylene Glycol', 'Propylene Glycol', 'Betaine', 'Alcohol', 'PEG-32', 'Maltodextrin', 'Polyacrylamide', 'Triethanolamine', 'Diazolidinyl Urea', 'Acrylates/C10-30 Alkyl Acrylate Crosspolymer', 'Alcohol Denat.', 'Disodium EDTA', 'Malpighia Punicifolia (Acerola) Fruit Extract', 'Argania Spinosa Kernel Extract', 'C13-14 Isoparaffin', 'Urea', 'Terminalia Ferdinandiana Fruit Extract', 'Glucosamine HCl', 'Methylparaben', 'Algae Extract', 'Yeast Extract', 'Phenoxyethanol', 'Lecithin', 'Silanetriol Trehalose Ether', 'Myrciaria Dubia Fruit Extract', 'Secale Cereale (Rye) Seed Extract', 'Sodium Cocoyl Glutamate', 'Laureth-7', 'Xanthan Gum', 'Punica Granatum Extract', 'Propylparaben', 'Guar Hydroxypropyltrimonium Chloride', 'Carbomer', 'Linum Usitatissimum (Linseed) Seed Extract', 'Pinus Sylvestris Bark Extract', 'Cetyl Hydroxyethylcellulose', 'Ribes Nigrum (Black Currant) Leaf Extract', 'Rutin', 'Benzophenone-4', 'Ethylparaben', 'Chlorphenesin', 'Sodium Methylparaben', 'Butylparaben', 'Palmitoyl Oligopeptide', 'Palmitoyl Tetrapeptide-7', 'Titanium Dioxide']",6
