,product,ingList,commonIng
14629,Facial Treatment Clear Lotion,"['Water', 'Saccharomyces Ferment Filtrate', 'Butylene Glycol', 'Polysorbate 20', 'Glycerin', 'Sodium Hyaluronate', 'PEG-150', 'Cellulose Gum', 'Disodium EDTA', 'Citric Acid', 'Salicylic Acid', 'Lactic Acid', 'Malic Acid', 'Sodium Citrate', 'Sodium Benzoate', 'Methylparaben']",5
2296,Time Revolution The First Treatment Essence Intensive - Moist,"['Saccharomyces Ferment Filtrate', 'Bifida Ferment Lysate', 'Water', 'Diethoxyethyl Succinate', 'Niacinamide', 'Hordeum Distichon (Barley) Extract', 'Phenoxyethanol', 'Dipropylene Glycol', 'Dimethicone', 'Glycerin', 'Polyquaternium-51', '1,2-Hexanediol', 'Adenosine', 'Lecithin', 'Potassium Sorbate', 'Cassia Alata Leaf Extract', 'Lactic Acid', 'Acetic Acid']",2
492,Special Cleansing Lotion C,"['Water', 'Isopropyl Alcohol', 'Propylene Glycol', 'Cucumis Sativus (Cucumber) Fruit Extract', 'Camphor', 'Sulfur', 'Styrax Benzoin Gum', 'Polysorbate 20', 'Fragrance', 'Sodium Chloride', 'Alcohol', 'Citronellol', 'Coumarin', 'Alpha-Isomethyl Ionone', 'CI 19140', 'CI 42090', 'CI 15985']",1
7649,Sake Hydrating and Brightening Essence,"['Saccharomyces Ferment Filtrate', 'Methyl Gluceth-20', 'Pentylene Glycol', 'Dipropylene Glycol', 'PPG-26-Buteth-26', 'Lactobacillus Ferment', 'Glycerin', 'Water', 'PEG-40 Hydrogenated Castor Oil(Perfuming, Surfactant, Fragrance, Emulsifying, ', 'Caffeine', 'Menthyl Lactate', 'Lactobacillus/Punica Granatum Fruit Ferment Extract', 'Acrylates/Vinyl Isodecanoate Crosspolymer', 'Hydrolyzed Corn Starch', 'Beta Vulgaris (Beet) Root Extract', 'Caprylyl Glycol', '1,2-Hexanediol', 'Sodium Citrate', 'Butylene Glycol', 'Dipotassium Glycyrrhizate', 'Allantoin', 'Trisodium Ethylenediamine Disuccinate', 'Sodium Hydroxide', 'Lactic Acid', 'Simmondsia Chinensis (Jojoba) Seed Extract', 'Leuconostoc/Radish Root Ferment Filtrate', 'Maltodextrin', 'Epilobium Angustifolium Flower/Leaf/Stem Extract', 'Rosa Damascena Flower Oil', 'Rosmarinus Officinalis (Rosemary) Leaf Oil', 'Aloe Barbadensis Leaf Juice Powder', 'p-Anisic Acid', 'Sea Whip Extract']",4
14829,Facial Lift Emulsion,"['Water', 'Saccharomyces Ferment Filtrate', 'Glycerin', 'Niacinamide', 'Sucrose Polycottonseedate', 'Isopropyl Isostearate', 'Butylene Glycol', 'Isohexadecane', 'Panthenol', 'Tocopheryl Acetate', 'Tocopherol (Vitamin E', 'C13-14 Isoparaffin', 'Dimethicone', 'Dimethiconol', 'Dipalmitoyl Hydroxyproline', 'Polymethylsilsesquioxane', 'Cetearyl Alcohol', 'Cetearyl Glucoside', 'Laureth-7', 'PEG-100 Stearate', 'Polyacrylamide', 'Cetyl Alcohol', 'Stearyl Alcohol', 'Disodium EDTA', 'Sodium Hydroxide', 'Benzyl Alcohol', 'Ethylparaben', 'Methylparaben', 'Propylparaben']",4
14515,Facial Treatment Mask,"['Water', 'Saccharomyces Ferment Filtrate', 'Butylene Glycol', 'Xanthan Gum', 'Sodium Salicylate', 'Methylparaben', 'Disodium EDTA']",4
911,Time Revolution First Treatment Essence,"['Saccharomyces Ferment Filtrate', 'Bifida Ferment Lysate', 'Propanediol', 'Niacinamide', 'Polyquaternium-51', 'Ulmus Davidiana Root Extract', 'Betaine', 'Amaranthus Caudatus Seed Extract', 'Piper Methysticum Leaf/Root/Stem Extract', 'Beta Vulgaris (Beet) Root Extract', 'Phellodendron Amurense Bark Extract', 'Cassia Alata Leaf Extract', 'Hydrogenated Lecithin', 'Sodium Hyaluronate', 'Pentylene Glycol', 'Water', 'Trehalose', 'Disodium EDTA', 'Hydrolyzed Corn Starch', 'Adenosine', 'Ethylhexylglycerin', 'Butylene Glycol', 'Glycerin', 'Raffinose', 'Tromethamine', 'Acetic Acid', 'Lactic Acid', '1,2-Hexanediol', 'Caprylyl Glycol', 'Phenoxyethanol', 'Potassium Sorbate']",4
2494,Time Revolution The First Treatment Essence (Intensive),"['Saccharomyces Ferment Filtrate', 'Bifida Ferment Lysate', 'Propanediol', 'Niacinamide', 'Polyquaternium-51', 'Ulmus Davidiana Root Extract', 'Betaine', 'Amaranthus Caudatus Seed Extract', 'Piper Methysticum Leaf/Root/Stem Extract', 'Beta Vulgaris (Beet) Root Extract', 'Phellodendron Amurense Bark Extract', 'Cassia Alata Leaf Extract', 'Hydrogenated Lecithin', 'Sodium Hyaluronate', 'Pentylene Glycol', 'Water', 'Trehalose', 'Disodium EDTA', 'Hydrolyzed Corn Starch', 'Adenosine', 'Ethylhexylglycerin', 'Butylene Glycol', 'Glycerin', 'Raffinose', 'Tromethamine', 'Acetic Acid', 'Lactic Acid', '1,2-Hexanediol', 'Caprylyl Glycol', 'Phenoxyethanol', 'Potassium Sorbate']",4
3473,Ultimate Revival Serum,"['Water', 'Saccharomyces Ferment Filtrate', 'Butylene Glycol', 'Glycerin', 'Pentylene Glycol', 'Sodium Hyaluronate', 'Hexapeptide-3', 'Polyglyceryl-10 Myristate', 'Pentaerythrityl Tetraethylhexanoate', 'Dipotassium Glycyrrhizate', 'Xanthan Gum', 'Diphenyl Dimethicone', 'Sodium Hydroxide', 'Sodium Benzoate', 'Methylparaben', 'Disodium EDTA']",6
14951,LXP Ultimate Serum,"['Water', 'Saccharomyces Ferment Filtrate', 'Butylene Glycol', 'Glycerin', 'Pentylene Glycol', 'Sodium Hyaluronate', 'Hexapeptide-3', 'Polyglyceryl-10 Myristate', 'Pentaerythrityl Tetraethylhexanoate', 'Dipotassium Glycyrrhizate', 'Xanthan Gum', 'Diphenyl Dimethicone', 'Sodium Hydroxide', 'Sodium Benzoate', 'Methylparaben', 'Disodium EDTA']",6
