,product,brand,ingList,commonIng
14768,Glow Tonic To-Go Pads,Pixi,"['Water', 'Glycolic Acid', 'Butylene Glycol', 'Glycerin', 'Sodium Hydroxide', 'Aloe Barbadensis Leaf Juice', 'Hamamelis Virginiana (Witch Hazel) Water', 'Aesculus Hippocastanum (Horse Chestnut) Seed Extract', 'Hexylene Glycol', 'Fructose', 'Glucose', 'Sucrose', 'Urea', 'Dextrin', 'Alanine', 'Glutamic Acid', 'Aspartic Acid', 'Hexyl Nicotinate', 'Panax Ginseng Root Extract', 'Ethylhexylglycerin', 'Disodium EDTA', 'Biotin', 'Panthenol', 'PPG-26-Buteth-26', 'PEG-40 Hydrogenated Castor Oil(Perfuming, Surfactant, Fragrance, Emulsifying, ', 'Phenoxyethanol', 'Fragrance', 'Caramel', 'CI 14700']",20
3743,Geranium Face Toner,TheBalm,"['Water', 'Aloe Barbadensis Leaf Juice', 'Glycolic Acid', 'Butylene Glycol', 'Propylene Glycol', 'Polysorbate 20', 'Ammonium Hydroxide', 'Rosmarinus Officinalis (Rosemary) Leaf Extract', 'Phenoxyethanol', 'Caprylyl Glycol', 'Ethylhexylglycerin', 'Sodium Hyaluronate', 'Allantoin', 'Glycerin', 'Hexylene Glycol', 'Pyrus Malus (Apple) Fruit Extract', 'Calendula Officinalis Flower Extract', 'Camellia Oleifera Leaf Extract', 'Centaurea Cyanus Flower Extract', 'Citrus Limon (Lemon) Peel Extract', 'Hypericum Perforatum Extract', 'Saccharum Officinarum (Sugar Cane) Extract', 'Tilia Cordata Flower Extract', 'Camellia Sinensis Leaf Extract', 'Geranium Maculatum Extract', 'Chamomilla Recutita (Matricaria) Extract', 'Humulus Lupulus (Hops) Extract', 'Althaea Officinalis Root Extract', 'Tussilago Farfara (Coltsfoot) Leaf Extract', 'Taraxacum Officinale (Dandelion) Extract', 'Foeniculum Vulgare (Fennel) Seed Extract', 'Aesculus Hippocastanum (Horse Chestnut) Extract', 'Equisetum Hiemale Extract', 'Hedera Helix (Ivy) Extract', 'Lavandula Angustifolia (Lavender) Extract', 'Salvia Officinalis (Sage) Leaf Extract', 'Sambucus Nigra Flower Extract', 'Thymus Vulgaris (Thyme) Extract', 'Hamamelis Virginiana (Witch Hazel) Extract', 'Achillea Millefolium Extract']",8
3707,Alcohol-Free Face Toner,TheBalm,"['Water', 'Hamamelis Virginiana (Witch Hazel) Leaf Extract', 'Aloe Barbadensis Leaf Juice', 'Propylene Glycol', 'Butylene Glycol', 'Cucumis Sativus (Cucumber) Fruit Extract', 'Polysorbate 20', 'Citrus Limon (Lemon) Fruit Extract', 'Panthenol', 'Phenoxyethanol', 'Allantoin', 'Caprylyl Glycol', 'Disodium EDTA', 'Ethylhexylglycerin', 'Hexylene Glycol', 'Camellia Sinensis Leaf Extract', 'Glycerin', 'Fragrance', 'Butylphenyl Methylpropional', 'Benzyl Salicylate']",9
8285,Clear Skin Hydrator Gel,Alpha-H,"['Water', 'Hamamelis Virginiana (Witch Hazel) Leaf Extract', 'Aloe Barbadensis Leaf Juice', 'Alcohol Denat.', 'Polysorbate 20', 'Niacinamide', 'Glycerin', 'Hyaluronic Acid', 'Phenoxyethanol', 'Xanthan Gum', 'Sodium Phytate', 'Salicylic Acid', 'PEG-40 Hydrogenated Castor Oil(Perfuming, Surfactant, Fragrance, Emulsifying, ', 'Olea Europaea (Olive) Leaf Extract', 'Potassium Hydroxide', 'Sodium PCA', 'Caprylyl Glycol', 'Panthenol', 'Acacia Senegal Gum Extract', 'Saccharide Isomerate', 'Hydrolyzed Cottonseed Protein', 'Citric Acid', 'Disodium EDTA', 'Potassium Sorbate', 'Eucalyptus Globulus Leaf Oil', 'Melaleuca Alternifolia (Tea Tree) Leaf Oil']",6
694,Seaweed Cleansing Lotion,Mario Badescu,"['Water', 'Aloe Barbadensis Leaf Juice', 'Propylene Glycol', 'Hamamelis Virginiana (Witch Hazel) Leaf Extract', 'Fucus Vesiculosus Extract', 'Fragrance', 'Caprylyl Glycol', 'Polysorbate 20', 'Phenoxyethanol', 'Hexylene Glycol', 'Sodium Chloride', 'CI 19140', 'CI 42090', 'Benzoic Acid', 'Benzyl Salicylate', 'Citronellol', 'Limonene', 'Geraniol', 'Linalool', 'Amyl Cinnamal', 'Hexyl Cinnamal']",7
7541,Sensitive Facial Cleansing Towelettes with Cotton Extract,Burt's Bees,"['Water', 'Aloe Barbadensis Leaf Juice', 'Glycerin', 'Gossypium Herbaceum (Cotton) Flower Extract', 'Oryza Sativa (Rice) Extract', 'Artemisia Umbelliformis Extract', 'Beta Vulgaris (Beet) Root Extract', 'Euphrasia Officinalis Extract', 'Saccharum Officinarum (Sugar Cane) Extract', 'Sucrose', 'Fructose', 'Glucose', 'Caprylyl Caprylate/Caprate', 'Caprylyl Glucoside', 'Dicaprylyl Carbonate', 'Polyglyceryl-4 Caprate', 'Xanthan Gum', 'Tocopherol (Vitamin E', 'Glycine Soja (Soybean) Oil', 'Trehalose', 'Citric Acid', 'Inositol', 'Alcohol Denat.', 'Benzoic Acid', 'Benzyl Alcohol', 'Potassium Sorbate', 'Sodium Benzoate', 'Phenoxyethanol']",8
1372,Facial Radiance Pads,First Aid Beauty,"['Water', 'Aloe Barbadensis Leaf Juice', 'Glycerin', 'Cucumis Sativus (Cucumber) Fruit Water', 'Lactic Acid', 'Glycolic Acid', 'Sodium Hydroxide', 'Leuconostoc/Radish Root Ferment Filtrate', 'Camellia Sinensis Leaf Extract', 'Chrysanthemum Parthenium (Feverfew) Extract', 'Glycyrrhiza Glabra (Licorice) Root Extract', 'Citrus Limon (Lemon) Peel Extract', 'Citrus Nobilis (Mandarin Orange) Fruit Extract', 'Hyaluronic Acid', 'Phyllanthus Emblica Fruit Extract', 'Polysorbate 20']",5
11875,Orchid Flower Aqua UV Sun Gel,The Orchid Skin,"['Water', 'Aloe Barbadensis Leaf Juice', 'Glycerin', 'Propylene Glycol', 'Ethylhexyl Methoxycinnamate', 'Titanium Dioxide', 'Zinc Oxide', 'Butylene Glycol', 'Betaine', 'Carbomer', 'Polyoxyethylene Hydrogenated Castor Oil', 'Hamamelis Virginiana (Witch Hazel) Leaf Extract', 'Camellia Sinensis Leaf Extract', 'Collagen', 'Hyaluronic Acid', 'Cucumis Sativus (Cucumber) Fruit Extract', '1,2-Hexanediol', 'Tocopheryl Acetate', 'Morus Alba Bark Extract', 'Orchid Extract', 'Crinum Asiaticum Extract', 'Dendrobium Phalaenopsis Flower Extract', 'Fragrance']",6
10629,Green Cover Sunscreen SPF50+ PA+++,Cosmo Monster,"['Water', 'Aloe Barbadensis Leaf Juice', 'Glycerin', 'Propylene Glycol', 'Ethylhexyl Methoxycinnamate', 'Titanium Dioxide', 'Zinc Oxide', 'Butylene Glycol', 'Betaine', 'Carbomer', 'PEG-40 Hydrogenated Castor Oil(Perfuming, Surfactant, Fragrance, Emulsifying, ', 'Allantoin', 'Hamamelis Virginiana (Witch Hazel) Leaf Extract', 'Camellia Sinensis Leaf Extract', 'Collagen', 'Hyaluronic Acid', 'Morus Alba Bark Extract', 'Helianthus Annuus (Sunflower) Flower Extract', 'Tocopheryl Acetate', 'Disodium EDTA']",5
6271,Sensitive Facial Cleansing Towelettes,Burt's Bees,"['Water', 'Aloe Barbadensis Leaf Juice', 'Glycerin', 'Gossypium Herbaceum (Cotton) Flower Extract', 'Oryza Sativa (Rice) Extract', 'Artemisia Umbelliformis Extract', 'Beta Vulgaris (Beet) Root Juice', 'Oak Root Extract', 'Euphrasia Officinalis Extract', 'Saccharum Officinarum (Sugar Cane) Extract', 'Sedum Acre Extract', 'Sucrose', 'Fructose', 'Glucose', 'Caprylyl Glucoside', 'Dicaprylyl Carbonate', 'Polyglyceryl-4 Caprate', 'Xanthan Gum', 'Tocopherol (Vitamin E', 'Glycine Soja (Soybean) Oil', 'Trehalose', 'Citric Acid', 'Inositol', 'Alcohol Denat.', 'Benzoic Acid', 'Benzyl Alcohol', 'Potassium Sorbate', 'Sodium Benzoate', 'Phenoxyethanol']",8
