,product,ingList
3237,Acerola Extract,"['Water', 'Butylene Glycol', 'Malpighia Glabra (Acerola) Fruit Extract']"
6146,Citrus Ginger Argan Oil,"['Argania Spinosa (Argan) Oil', 'Citrus limon (Lemon', 'Citrus Sinensis (Sweet Orange', 'Zingiber Officinale (Ginger) Water']"
10852,Fish Collagen Powder,"['Hydrolyzed Collagen', 'Dextrin', 'Glucose', 'Dipotassium Glycyrrhizate', 'Allantoin']"
6018,Coconut Argan Oil,"['Argania Spinosa (Argan) Oil', 'Cocos Nucifera (Coconut) Oil']"
10833,Profix,"['Water', 'Carbomer', 'Tocopherol (Vitamin E', 'Phytol']"
5647,Cucumber De-Tox Water Mist,"['Water', 'Butylene Glycol', 'Polysorbate 80', 'Cucumis Sativus (Cucumber) Fruit Extract', 'Chamomilla Recutita (Matricaria) Flower Extract']"
9964,Brightening Facial Tonic With Organic Orange,"['Water', 'Citrus Sinensis (Sweet Orange', 'Citric Acid', 'Potassium Sorbate', 'Benzyl Alcohol', 'Limonene']"
2645,Rosaclear Metronidazole Topical Gel,"['Imidazole', 'Methylparaben', 'Disodium EDTA', 'Propylene Glycol', 'Water', 'Sodium Hydroxide']"
9927,Hibiscus Face Mask,"['Oryza Sativa (Rice) Powder', 'Hibiscus Sabdariffa Flower Powder', 'Pelargonium Graveolens (Rose Geranium']"
3682,Michael Todd SPF 18 Tinted Lip Protector Trio,"['Mentha Piperita (Peppermint) Oil', 'Tocopherol (Vitamin E', 'Titanium Dioxide', 'Iron Oxides']"
