,product,ingList
4666,Lathering Tube Soap,"['Water', nan]"
13737,Infallible Mattifying Base,"['Cyclopentasiloxane', 'Dimethicone Crosspolymer']"
6018,Coconut Argan Oil,"['Argania Spinosa (Argan) Oil', 'Cocos Nucifera (Coconut) Oil']"
14450,Timeless Ferment Snail Hydro Gel Mask,['Water']
2127,Eye Make-Up Remover Cream,['Protease']
3076,Acerola 100,"['Water', 'Butylene Glycol', 'Malpighia Glabra (Acerola) Fruit Extract']"
3237,Acerola Extract,"['Water', 'Butylene Glycol', 'Malpighia Glabra (Acerola) Fruit Extract']"
13786,Roman Chamomile Flower Waters,"['Water', 'Anthemis Nobilis Flower Oil']"
829,Thermal Spring Water,"['Water', 'Nitrogen']"
7536,3 to Go Thermal Spring Water Set,"['Water', 'Nitrogen']"
