,product,ingList
13960,Anti-Blemish Solutions Cleansing Foam,"['Water', 'Glycerin', 'Butylene Glycol', 'Sodium Methyl Cocoyl Taurate', 'Sucrose', 'Disodium Phosphate', 'Arginine Cocoate', 'Laminaria Saccharina Extract', 'Cola Nitida Seed Extract', 'Caffeine', 'Algae Extract', 'Mentha Piperita (Peppermint', 'Sea Whip Extract', 'PEG/PPG-18/18 Dimethicone', 'Sodium Hyaluronate', 'PPG-6-Decyltetradeceth-30', 'Lactobacillus Ferment', 'Stearamidopropyl Dimethylamine', 'Longifolene', 'Acetyl Glucosamine', 'Capryloyl Glycine', 'Perillaldehyde', '10-Hydroxydecanoic Acid', 'Polyquaternium-7', 'Beta-Caryophyllene', 'Phospholipids', 'Sodium Stearate', 'Sodium Salicylate', 'Disodium EDTA', 'Phenoxyethanol', 'Chloroxylenol']"
14697,Anti-hangover soothing mask,"['Water', 'Glycerin', 'Butylene Glycol', '1,2-Hexanediol', 'Panthenol', 'Biosaccharide Gum-1', 'Saccharomyces/Imperata Cylindrica Root Ferment Extract', 'Saccharomyces/Viscum Album (Mistletoe) Ferment Extract', 'Lactobacillus/Soybean Ferment Extract', 'Beta-Glucan', 'Carbomer', 'Tromethamine', 'Ammonium Acryloyldimethyltaurate/VP Copolymer', 'Microcrystalline Cellulose', 'Zea Mays (Corn) Starch', 'Mannitol', 'Kaolin', 'Ascorbyl Glucoside', 'Xylitylglucoside', 'Anhydroxylitol', 'Xylitol', 'Betaine', 'Trehalose', 'Polyquaternium-51', 'Avena Sativa (Oat) Kernel Extract', 'Calendula Officinalis Flower Extract', 'Nepeta Cataria Extract', 'Rubus Idaeus (Raspberry) Leaf Extract', 'Baptisia Tinctoria Root Extract', 'Stellaria Media (Chickweed) Extract', 'Achillea Millefolium Flower Extract', 'Rosa Damascena Flower Extract', 'Lavandula Angustifolia (Lavender) Flower Extract', 'Chamomilla Recutita (Matricaria) Flower Extract', 'Trisodium EDTA', 'Fragrance', 'Limonene']"
15216,Time Revolution Vitality Eye Cream,"['Water', 'Glycerin', 'Cyclopentasiloxane', 'Hydrogenated Poly(C6-14 Olefin', 'Cetearyl Alcohol', 'Cyclohexasiloxane', 'Polyglyceryl-3 Methylglucose Distearate', 'Butyrospermum Parkii (Shea) Butter', 'Glyceryl Stearate', 'Stearic Acid', 'Triethylhexanoin', 'Pentylene Glycol', 'Polysorbate 60', 'Dimethicone', 'Beeswax', 'Silica', 'PEG-100 Stearate', 'Phenoxyethanol', 'Caprylyl Glycol', 'Sodium Polyacrylate', 'Triethanolamine', 'Fragrance', 'Acrylates/C10-30 Alkyl Acrylate Crosspolymer', 'Tocopheryl Acetate', 'Adenosine', 'Cassia Alata Leaf Extract', 'Disodium EDTA', 'Linum Usitatissimum (Linseed) Seed Extract', 'Pseudoalteromonas Ferment Extract', 'Saccharide Isomerate', 'Vitex Agnus Castus Extract', 'Vaccinium Macrocarpon (Cranberry) Fruit Extract', 'Alcohol', 'Hydrolyzed Wheat Protein', 'Prunus Amygdalus Dulcis (Sweet Almond) Seed Extract', 'Hydrolyzed Soy Protein', 'Butylene Glycol', 'Adansonia Digitata Pulp Extract', 'Lecithin', 'Glycoproteins', 'Sodium Hyaluronate', '1,2-Hexanediol', 'Xanthan Gum', 'Cucumis Melo (Melon) Fruit Extract', 'Hydroxypropyltrimonium Maltodextrin Crosspolymer', 'Hibiscus Sabdariffa Flower Extract', 'Caprylic/Capric Triglyceride', 'Sodium Citrate', 'Citric Acid', 'Tocopherol (Vitamin E', 'Cyclodextrin', 'Sodium Benzoate', 'Ascorbyl Tetraisopalmitate', 'Potassium Sorbate', 'Glutamic Acid', 'Tripeptide-10 Citrulline', 'Carbomer', 'Ethylhexylglycerin', 'Valine', 'Threonine', 'Tripeptide-3', 'Tripeptide-1', 'Punica Granatum Fruit Extract', 'Vinegar']"
5987,Intensive Care Healing Serum Deep Repair,"['Water', 'Glycerin', 'Dimethicone', 'Isopropyl Myristate', 'Hydroxystearic Acid', 'Sodium Hydroxypropyl Starch Phosphate', 'Petrolatum', 'Tapioca Starch', 'Glyceryl Hydroxystearate', 'Citrus Limon (Lemon) Peel Powder', 'Citrus Aurantifolia (Lime) Peel Powder', 'Cetearyl Alcohol', 'Cetearyl Glucoside', 'Palmitic Acid(Emollient, Fragrance, Opacifying, Sufactant, Surfactant -Emulsifying Agentsurfactant-Cleansing Agent Is Included As A Function For The Soap Form Of Palmitic Acid.', 'Arachidic Acid(Emulsifying, Opacifying, Sufactantsurfactant-Cleansing Agent Is Included As A Function For The Soap Form Of Arachidic Acid.', 'Dimethicone Crosspolymer', 'Disodium EDTA', 'Fragrance', 'Methylparaben', 'Phenoxyethanol', 'Propylparaben', 'Benzyl Alcohol', 'Butylphenyl Methylpropional', 'Citronellol', 'Coumarin', 'Limonene', 'Linalool', 'Titanium Dioxide']"
6140,Intensive Care Healing Serum Advanced Relief,"['Water', 'Glycerin', 'Dimethicone', 'Isopropyl Myristate', 'Hydroxystearic Acid', 'Sodium Hydroxypropyl Starch Phosphate', 'Petrolatum', 'Tapioca Starch', 'Glyceryl Hydroxystearate', 'Citrus Limon (Lemon) Peel Powder', 'Citrus Aurantifolia (Lime) Peel Powder', 'Cetearyl Alcohol', 'Cetearyl Glucoside', 'Palmitic Acid(Emollient, Fragrance, Opacifying, Sufactant, Surfactant -Emulsifying Agentsurfactant-Cleansing Agent Is Included As A Function For The Soap Form Of Palmitic Acid.', 'Arachidic Acid(Emulsifying, Opacifying, Sufactantsurfactant-Cleansing Agent Is Included As A Function For The Soap Form Of Arachidic Acid.', 'Dimethicone Crosspolymer', 'Disodium EDTA', 'Fragrance', 'Methylparaben', 'Phenoxyethanol', 'Propylparaben', 'Benzyl Alcohol', 'Butylphenyl Methylpropional', 'Citronellol', 'Coumarin', 'Limonene', 'Linalool', 'Titanium Dioxide']"
2524,RESIST Anti-Aging Eye Cream,"['Water', 'Butyrospermum Parkii (Shea) Butter', 'Glycerin', 'Dimethicone', 'Sodium PCA', 'Hydrogenated Polyisobutene', 'Ascorbyl Glucoside', 'Sodium Polyacrylate', 'Hydrogenated Lecithin', 'Glucosyl Hesperidin', 'Copper Gluconate', 'Troxerutin', 'Disodium Rutinyl Disulfate', 'Resveratrol', 'Palmitoyl Tripeptide-38', 'Caprooyl Tetrapeptide-3', 'Glycyrrhiza Glabra (Licorice) Root Extract', 'Phytic Acid', 'Beta-Glucan', 'Acetyl Glucosamine', 'Tocopherol (Vitamin E', 'Allantoin', 'Adenosine', 'Dextran', 'Caprylic/Capric Triglyceride', 'Sea Whip Extract', 'Arctostaphylos Uva Ursi Leaf Extract', 'Salix Alba (Willow) Bark Extract', 'Polyacrylate Crosspolymer-6', 'Hydroxypropyl Cyclodextrin', 'Xanthan Gum', 'Cetearyl Alcohol', 'Maltodextrin', 'Benzyl Alcohol', 'Phenoxyethanol']"
1916,Lala Retro Whipped Cream,"['Water', 'Glycerin', 'Isopropyl Isostearate', 'Pseudozyma Epicola/Soybean Flour/Olive Fruit Oil Ferment Filtrate', 'Glyceryl Stearate SE', 'Cetearyl Alcohol', 'Coffea Arabica (Coffee) Seed Extract', 'Plantago Lanceolata Leaf Extract', 'Adansonia Digitata Seed Oil', 'Citrullus Lanatus (Watermelon) Seed Oil', 'Passiflora Edulis Seed Oil', 'Schinziophyton Rautanenii Kernel Oil', 'Sclerocarya Birrea Seed Oil', 'Ximenia Americana Seed Oil', 'Pentylene Glycol', 'Sodium Hyaluronate Crosspolymer', 'Tocopherol (Vitamin E', 'Ceteareth-20', 'Trisodium Ethylenediamine Disuccinate', 'Sodium Hydroxide', 'Citric Acid', 'Carbomer', 'Xanthan Gum', 'Caprylyl Glycol', 'Chlorphenesin', 'Phenoxyethanol']"
5936,Intensive Care Healing Serum Radiance Restore,"['Water', 'Glycerin', 'Dimethicone', 'Isopropyl Myristate', 'Hydroxystearic Acid', 'Sodium Hydroxypropyl Starch Phosphate', 'Petrolatum', 'Theobroma Cacao (Cocoa) Seed Butter', 'Tapioca Starch', 'Glyceryl Hydroxystearate', 'Citrus Limon (Lemon) Peel Powder', 'Citrus Aurantifolia (Lime) Peel Powder', 'Cetearyl Alcohol', 'Cetearyl Glucoside', 'Palmitic Acid(Emollient, Fragrance, Opacifying, Sufactant, Surfactant -Emulsifying Agentsurfactant-Cleansing Agent Is Included As A Function For The Soap Form Of Palmitic Acid.', 'Arachidic Acid(Emulsifying, Opacifying, Sufactantsurfactant-Cleansing Agent Is Included As A Function For The Soap Form Of Arachidic Acid.', 'Dimethicone Crosspolymer', 'Disodium EDTA', 'Fragrance', 'Methylparaben', 'Phenoxyethanol', 'Propylparaben', 'Benzyl Alcohol', 'Benzyl Benzoate', 'Benzyl Cinnamate', 'Butylphenyl Methylpropional', 'Citronellol', 'Coumarin', 'Hexyl Cinnamal', 'Hydroxycitronellal', 'Limonene', 'Linalool', 'Titanium Dioxide']"
6296,Coconut & Hibiscus Facial Wash & Scrub,"['Water', 'Kaolin', 'Bentonite', 'Cocos Nucifera (Coconut) Oil', 'Simmondsia Chinensis (Jojoba) Seed Oil', 'Stearyl Alcohol', 'Coconut Alcohol', 'Butyrospermum Parkii (Shea) Butter', 'Sodium Stearoyl Lactylate', 'Butyl Avocadate', 'Aloe Barbadensis Leaf Extract', 'Glycerin', 'Phytosterols', 'Hibiscus Sabdariffa Flower Extract', 'Vitamin B', 'Vitamin F', 'Tocopherol (Vitamin E', 'Alpha-Bisabolol', 'Dehydroacetic Acid', 'Potassium Hydroxide', 'Althaea Rosea Root Extract', 'Carica Papaya (Papaya) Leaf Extract', 'Hericium Erinaceum (Mushroom) Extract']"
5040,Blemishes No More Oil-Free Hydrator,"['Water', 'Glycerin', 'Silanediol Salicylate', 'Diisopropyl Adipate', 'Hamamelis Virginiana (Witch Hazel) Bark Extract', 'Methyl Methacrylate Crosspolymer', 'Glyceryl Stearate', 'Triheptanoin', 'Sodium Polyacrylate', 'Glyceryl Stearate Citrate', 'Glyceryl Caprylate', 'Alpha-Bisabolol', 'Salicylic Acid', 'Menthyl Lactate', 'Polyglyceryl-3 Stearate', 'Betaine', 'Palmitoyl Hexapeptide-14', 'Picea Excelsa Bud Extract', 'Sodium Phytate', 'Hydrogenated Lecithin', 'Honey', 'Pectin', 'Hydroxycinnamic Acid', 'Linum Usitatissimum (Linseed) Seed Extract', 'Menthol', 'Phenoxyethanol', 'Methylparaben', 'Ethylparaben', 'Butylparaben', 'Propylparaben', 'Isobutylparaben', 'Sodium Hydroxide']"
